1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC(0.5)
74,Cifar100,FedALA,72,3.272465627489392,0.24115670904419997,0.8699831895164396,0.13762653593768542,0.049457150871707094
75,Cifar100,FedALA,73,3.2702192080863512,0.24319873526118174,0.8700357787881843,0.1364612127862488,0.0492023617857673
76,Cifar100,FedALA,74,3.2682261496887763,0.24260588894012253,0.8701956729012609,0.13585419004118673,0.04904630755409787
77,Cifar100,FedALA,75,3.2639346807538008,0.24234240168631843,0.8701421087385817,0.137999479874524,0.049119639484191874
78,Cifar100,FedALA,76,3.2604685032792795,0.24273763256702457,0.8703358325101975,0.1382425584598799,0.04898639976944927
79,Cifar100,FedALA,77,3.252297215242804,0.24484553059745734,0.8709494884852241,0.13824359418315327,0.04898660255178859
80,Cifar100,FedALA,78,3.2475038805908736,0.24543837691851655,0.8710983060369978,0.13881716448086814,0.048963141930380684
81,Cifar100,FedALA,79,3.243232944934124,0.24451617153020222,0.8715635553663531,0.13818919532215865,0.04891002199408621
82,Cifar100,FedALA,80,3.2425842576824744,0.24385745339569198,0.8715428150742474,0.13950864273789765,0.04905938597128398
83,Cifar100,FedALA,81,3.2394988481994766,0.2450431460378104,0.8717455691678222,0.13986530394393698,0.04859173290686103
84,Cifar100,FedALA,82,3.2383943473175405,0.24431855608984915,0.8714166944660583,0.1389784651210352,0.049201406076951525
85,Cifar100,FedALA,83,3.231937073799175,0.2441868124629471,0.8720725262429809,0.13737933508860387,0.04884254726469953
86,Cifar100,FedALA,84,3.2284441165488813,0.24642645412028194,0.8722747028575751,0.1367242098664984,0.048481588739665925
87,Cifar100,FedALA,85,3.2261478422493046,0.24609709505302682,0.872341180364429,0.13757618148152023,0.048489802828727
88,Cifar100,FedALA,86,3.219743456795951,0.24616296686647784,0.8727394122673373,0.13568523574063376,0.04834837878731902
89,Cifar100,FedALA,87,3.21919246252517,0.2455701205454186,0.872717907957459,0.13892437937613983,0.04864487494543345
90,Cifar100,FedALA,88,3.2159358745434248,0.2444502997167512,0.8728548906488373,0.1360451855951646,0.04862742544739638
91,Cifar100,FedALA,89,3.2117222739092375,0.24412094064949608,0.873119193641085,0.13793902259954383,0.04852874142377238
92,Cifar100,FedALA,90,3.209155496273745,0.24458204334365324,0.8732975769209754,0.13796614677933525,0.04794621827088001
93,Cifar100,FedALA,91,3.207247643751562,0.24642645412028194,0.8731888588327956,0.1385163755682825,0.04788803615583638
94,Cifar100,FedALA,92,3.202089681581884,0.2476780185758514,0.8733148651972423,0.1378705978435215,0.04814148548323185
